document,term,w
2,peres,281
2,peres,281
2,peres,281
2,person,282
2,pipeline,283
2,pipeline,283
2,pipeline,283
2,pipeline,283
2,pipeline,283
2,planned,284
2,point,285
2,political,286
2,port,287
2,portion,288
2,position,289
2,possibly,290
2,post,291
2,president,292
2,press,293
2,project,294
2,promised,295
2,proposals,296
2,proposed,297
2,public,298
2,put,299
2,quoted,300
2,rappaport,301
2,rappaport,301
2,rappaport,301
2,rappaport,301
2,rappaport,301
2,rappaport,301
2,rappaport,301
2,reached,302
2,reached,302
2,receive,303
2,reference,304
2,referred,305
2,relations,306
2,relayed,307
2,representative,308
2,residence,309
2,robert,310
2,run,311
2,sales,312
2,sales,312
2,san,313
2,san,313
2,san,313
2,saying,314
2,says,315
2,secret,316
2,sees,317
2,sell,318
2,senior,147
2,september,319
2,september,319
2,seriously,320
2,shimon,321
2,sources,322
2,speaking,323
2,specific,324
2,spoke,325
2,spokesman,160
2,states,326
2,submitted,327
2,swiss,328
2,swiss,328
2,take,329
2,telephone,330
2,terminal,331
2,thats,332
2,thing,333
2,things,334
2,think,335
2,thinking,336
2,third,170
2,thought,337
2,time,338
2,told,339
2,tom,173
2,town,340
2,vice,341
2,wage,342
2,wallach,343
2,wallach,343
2,war,344
2,wednesday,345
2,wednesday,345
2,work,346
2,wrongdoing,347
2,year,182
2,years,184
2,years,184
3,able,187
3,add,348
3,administrator,349
3,ago,3
3,aids,350
3,appeared,8
3,arrest,351
3,art,352
3,arts,353
3,attempt,354
3,away,355
3,back,356
3,back,356
3,back,356
3,back,356
3,back,356
3,bag,357
3,bearing,358
3,belonging,359
3,better,360
3,bloomberg,361
3,bloomberg,361
3,bloomberg,361
3,bloomberg,361
3,bloomberg,361
3,bloomberg,361
3,bloomberg,361
3,bound,362
3,called,363
3,came,206
3,car,364
3,car,364
3,case,365
3,case,365
3,cash,366
3,checked,367
3,city,368
3,citys,369
3,cleaning,370
3,clear,371
3,closing,372
3,collapsed,373
3,colleges,374
3,complications,375
3,cool,376
3,cool,376
3,couldnt,377
3,dating,378
3,days,379
3,deliver,380
3,didnt,38
3,died,39
3,dont,42
3,door,43
3,door,43
3,door,43
3,due,381
3,edwards,382
3,entertainer,383
3,entertainer,383
3,escaped,384
3,fame,385
3,far,386
3,featuring,387
3,february,388
3,feet,389
3,forced,390
3,foundation,391
3,founded,392
3,front,393
3,fund,394
3,gained,395
3,get,396
3,get,396
3,getting,397
3,give,398
3,going,399
3,guards,400
3,gun,72
3,gun,72
3,gunman,401
3,gunman,401
3,gunman,401
3,gunman,401
3,hands,402
3,hands,402
3,heard,403
3,home,404
3,home,404
3,hostage,405
3,hostage,405
3,hostage,405
3,hugh,406
3,i,79
3,i,79
3,i,79
3,i,79
3,i,79
3,i,79
3,i,79
3,i,79
3,i,79
3,id,407
3,identified,80
3,incident,408
3,inside,409
3,interested,410
3,jewelry,411
3,jewelry,411
3,jewelry,411
3,jewelry,411
3,jewelry,411
3,just,87
3,just,87
3,just,87
3,killed,91
3,know,94
3,las,412
3,late,413
3,late,413
3,legs,414
3,lengthy,415
3,let,416
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,liberace,417
3,lift,418
3,lt,419
3,man,263
3,man,263
3,man,263
3,man,263
3,man,263
3,margaret,420
3,margaret,420
3,marks,421
3,million,268
3,minute,422
3,monday,423
3,money,424
3,money,424
3,mouth,425
3,moved,426
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,mrs,427
3,museum,428
3,museum,428
3,museum,428
3,museum,428
3,museum,428
3,museum,428
3,museum,428
3,museum,428
3,music,429
3,noise,430
3,obviously,431
3,offered,274
3,offered,274
3,offers,432
3,office,433
3,outside,120
3,outside,120
3,performing,434
3,perry,435
3,pick,436
3,place,437
3,plant,438
3,pointed,439
3,police,126
3,police,126
3,police,126
3,police,126
3,police,126
3,police,126
3,police,126
3,police,126
3,police,126
3,pop,440
3,prepared,441
3,produced,442
3,provides,443
3,ready,444
3,recalled,445
3,receipts,446
3,record,447
3,refused,448
3,retained,449
3,sat,450
3,sat,450
3,sat,450
3,saw,451
3,saying,314
3,security,452
3,shaken,453
3,shoot,454
3,shot,155
3,shot,155
3,shot,155
3,sidewalk,455
3,slipped,456
3,sophisticated,457
3,states,326
3,stay,458
3,stay,458
3,staying,459
3,steal,460
3,students,163
3,sunday,461
3,systems,462
3,take,329
3,taped,463
3,thought,337
3,tied,464
3,tied,464
3,told,339
3,told,339
3,tools,465
3,top,466
3,tourist,467
3,tried,468
3,tried,468
3,tried,468
3,tried,468
3,united,469
3,universities,470
3,vegas,471
3,walked,472
3,wanted,473
3,wanted,473
3,warn,474
3,wasnt,475
3,went,177
3,woman,476
3,woman,476
3,work,346
3,worked,477
3,working,478
3,yearold,183
3,years,184
3,years,184
4,actor,479
4,actress,480
4,age,481
4,ago,3
4,ago,3
4,ago,3
4,ahmed,482
4,air,483
4,am,484
4,american,485
4,american,485
4,americas,486
4,amid,487
4,announced,488
4,arrived,489
4,back,356
4,baltimore,490
4,bank,491
4,base,492
4,begin,493
4,beirut,494
4,bestknown,495
4,birthdays,496
4,black,497
4,carter,498
4,charleston,499
4,chester,500
4,choice,501
4,cleveland,502
4,collapsed,373
4,confirmation,503
4,convicted,504
4,countries,505
4,countrys,506
4,court,507
4,dance,508
4,date,509
4,day,218
4,days,379
4,defeat,510
4,delaware,511
4,depression,512
4,descended,513
4,died,39
4,died,39
4,dismissed,514
4,douglas,515
4,draft,516
4,drew,517
4,duncan,518
4,egypts,519
4,ends,520
4,english,521
4,exchange,522
4,executed,523
4,existing,524
4,expand,525
4,experienced,526
4,exporting,527
4,fall,528
4,figures,529
4,first,55
4,first,55
4,first,55
4,five,530
4,force,531
4,founded,392
4,founder,532
4,frances,533
4,gaza,534
4,great,535
4,grenada,536
4,h,75
4,h,75
4,henry,537
4,highlight,538
4,history,539
4,history,539
4,history,539
4,hour,78
4,india,540
4,invasion,541
4,invasion,541
4,investors,542
4,israel,252
4,israeli,253
4,jackson,543
4,jewish,544
4,jimmy,545
4,joseph,546
4,killed,91
4,l,547
4,lady,548
4,landed,549
4,launched,550
4,left,551
4,leon,552
4,local,553
4,london,554
4,made,261
4,marijuana,555
4,men,556
4,military,557
4,military,557
4,minister,269
4,minister,269
4,modern,558
4,moore,559
4,museum,428
4,national,560
4,natural,561
4,nbcs,562
4,new,563
4,new,563
4,news,564
4,newscast,565
4,nightly,566
4,nomination,567
4,number,568
4,occupied,569
4,oct,570
4,oct,570
4,oil,276
4,organization,571
4,organization,571
4,pa,572
4,panic,573
4,past,574
4,peacetime,575
4,peninsula,576
4,penn,577
4,pennsylvania,578
4,petroleum,579
4,pioneer,580
4,poet,581
4,president,292
4,president,292
4,president,292
4,priceless,582
4,prices,583
4,prime,584
4,print,585
4,proclaimed,586
4,pulitzer,587
4,raleigh,588
4,rd,589
4,reaffirmed,590
4,reagan,591
4,recovered,592
4,replacing,593
4,report,594
4,republic,595
4,responding,596
4,richard,597
4,right,598
4,robert,310
4,run,311
4,saturday,142
4,saudi,599
4,sc,600
4,secretary,601
4,selling,602
4,serve,603
4,servicemen,604
4,settlements,605
4,sheik,606
4,sinai,607
4,singer,608
4,sir,609
4,star,610
4,star,610
4,stealing,611
4,stock,612
4,strip,613
4,supreme,614
4,television,615
4,ten,616
4,thieves,617
4,thought,337
4,thousands,618
4,three,171
4,time,338
4,time,338
4,today,619
4,today,619
4,todays,620
4,todays,620
4,tomorrow,621
4,trouble,622
4,tuesday,623
4,turkey,624
4,understand,625
4,usled,626
4,walter,627
4,war,344
4,west,628
4,william,629
4,william,629
4,wiped,630
4,women,631
4,year,182
4,year,182
4,year,182
4,years,184
4,years,184
4,york,632
4,york,632
5,away,355
5,begins,633
5,bird,634
5,born,635
5,brings,636
5,charge,637
5,coming,638
5,continues,639
5,day,218
5,estimated,640
5,extra,641
5,far,386
5,feb,642
5,first,55
5,get,396
5,get,396
5,get,396
5,got,643
5,hard,644
5,hes,645
5,im,646
5,inspiration,647
5,just,87
5,latest,648
5,lining,649
5,mail,650
5,mail,650
5,message,651
5,million,268
5,monday,423
5,new,563
5,office,433
5,passed,652
5,people,124
5,people,124
5,people,124
5,pieces,653
5,post,291
5,program,654
5,program,654
5,recently,655
5,satisfied,656
5,send,657
5,song,658
5,special,659
5,spread,660
5,started,661
5,sure,662
5,takes,663
5,ted,664
5,thats,332
5,theres,665
5,thing,333
5,thompson,666
5,thompson,666
5,thompsons,667
5,touch,668
5,volunteers,669
5,volunteers,669
5,wife,670
5,word,671
5,world,672
5,write,673
5,year,182
5,year,182
5,year,182
6,account,674
6,accused,675
6,achieve,676
6,acknowledged,188
6,act,677
6,act,677
6,additional,678
6,administration,679
6,administration,679
6,administration,679
6,administration,679
6,administration,679
6,adviser,680
6,advisers,681
6,ago,3
6,ago,3
6,agrees,682
6,american,485
6,american,485
6,american,485
6,american,485
6,americans,683
6,americans,683
6,antonio,684
6,appeal,685
6,appearing,686
6,applied,687
6,apply,688
6,army,689
6,army,689
6,asking,690
6,assad,691
6,assure,692
6,authorize,693
6,authorizing,694
6,available,695
6,back,356
6,balked,696
6,bear,697
6,believe,15
6,believes,698
6,best,699
6,best,699
6,bipartisan,700
6,briefed,701
6,brought,702
6,business,703
6,businesses,704
6,buy,705
6,california,706
6,call,707
6,call,707
6,candidates,708
6,castro,709
6,cautious,710
6,central,711
6,central,711
6,channels,712
6,channels,712
6,channels,712
6,chief,27
6,colin,713
6,command,714
6,commander,715
6,committee,716
6,communication,717
6,communications,718
6,complicity,719
6,concern,213
6,congress,720
6,consideration,721
6,constitution,722
6,consul,723
6,contacts,724
6,continue,725
6,continue,725
6,contributed,726
6,control,727
6,control,727
6,convinced,728
6,coordinated,729
6,corporations,730
6,costa,731
6,country,732
6,country,732
6,countrys,506
6,created,733
6,crisis,734
6,criticized,735
6,cuba,736
6,cuba,736
6,dc,737
6,dealing,738
6,dealt,739
6,decision,740
6,defense,741
6,defense,741
6,defense,741
6,degree,742
6,democratic,743
6,department,744
6,deployed,745
6,despite,746
6,detained,747
6,development,221
6,dictated,748
6,diplomatic,749
6,diplomatic,749
6,disclosure,750
6,discontent,751
6,discuss,752
6,dispatch,753
6,document,754
6,drug,755
6,drug,755
6,early,756
6,earned,757
6,economic,758
6,economic,758
6,economic,758
6,economic,758
6,economic,758
6,effort,759
6,efforts,760
6,emergency,761
6,encourage,762
6,enthusiastic,763
6,established,764
6,evidence,765
6,examining,766
6,examining,766
6,examining,766
6,exile,767
6,facilities,768
6,far,386
6,february,388
6,fidel,769
6,firmly,770
6,fitzwater,771
6,force,531
6,forces,772
6,forces,772
6,forces,772
6,foreign,234
6,foster,773
6,freedom,774
6,gen,775
6,general,239
6,general,239
6,general,239
6,general,239
6,general,239
6,giving,776
6,go,240
6,goal,777
6,governed,778
6,government,241
6,grip,779
6,grounds,780
6,guatemala,781
6,hafez,782
6,headed,783
6,help,784
6,house,785
6,house,785
6,house,785
6,i,79
6,i,79
6,i,79
6,i,79
6,i,79
6,identified,80
6,immediate,786
6,implications,787
6,important,246
6,increase,788
6,indicated,249
6,installations,789
6,intelligence,790
6,interests,791
6,international,792
6,involvement,793
6,jackson,543
6,jackson,543
6,jackson,543
6,jackson,543
6,jackson,543
6,jackson,543
6,jacksons,794
6,jacksons,794
6,jacksons,794
6,jesse,795
6,joining,796
6,jose,797
6,last,95
6,law,798
6,law,798
6,leave,799
6,leave,799
6,letter,800
6,letter,800
6,letter,800
6,letter,800
6,lieutenant,801
6,living,802
6,long,101
6,made,261
6,manuel,803
6,marines,804
6,marlin,805
6,mentioned,267
6,military,557
6,military,557
6,milwaukee,806
6,monday,423
6,monday,423
6,monday,423
6,month,807
6,moral,808
6,move,809
6,ms,110
6,national,560
6,needed,810
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriega,811
6,noriegas,812
6,noriegas,812
6,offices,813
6,official,275
6,official,275
6,official,275
6,official,275
6,officials,814
6,officials,814
6,officials,814
6,officials,814
6,operating,815
6,operating,815
6,operations,816
6,options,817
6,oust,818
6,ouster,819
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panama,820
6,panamanian,821
6,panamanian,821
6,panamanian,821
6,panamanian,821
6,panamanian,821
6,paralysis,822
6,past,574
6,past,574
6,payments,823
6,payments,823
6,payments,823
6,pentagon,824
6,people,124
6,people,124
6,persuaded,825
6,phyllis,826
6,pilot,827
6,placed,828
6,plan,829
6,plans,830
6,policies,831
6,political,286
6,political,286
6,powell,832
6,powell,832
6,powell,832
6,powell,832
6,powell,832
6,powell,832
6,power,833
6,powerful,834
6,powers,835
6,president,292
6,president,292
6,president,292
6,president,292
6,presidential,836
6,pressure,837
6,pressure,837
6,pressure,837
6,prisoners,838
6,problem,839
6,produced,442
6,program,654
6,proof,840
6,provide,841
6,public,298
6,public,298
6,publicly,842
6,reagan,591
6,reagan,591
6,reagan,591
6,reagan,591
6,reason,843
6,reasonable,844
6,refused,448
6,reiterate,845
6,rejected,846
6,related,133
6,relations,306
6,release,135
6,released,847
6,releasing,848
6,remain,849
6,remove,850
6,renewed,851
6,renewed,851
6,reporters,852
6,resign,853
6,resolve,854
6,rica,855
6,sanctions,856
6,sanctions,856
6,saying,314
6,saying,314
6,says,315
6,security,452
6,security,452
6,security,452
6,seize,857
6,seizure,858
6,senate,859
6,senior,147
6,sensible,860
6,sent,861
6,sent,861
6,sent,861
6,situation,862
6,soldiers,863
6,soldiers,863
6,sound,864
6,southern,865
6,spokesman,160
6,spokeswoman,866
6,staff,867
6,state,868
6,states,326
6,stationed,869
6,step,870
6,strongman,871
6,studying,872
6,successfully,873
6,supported,874
6,syria,875
6,syria,875
6,tactic,876
6,take,329
6,take,329
6,taking,877
6,taking,877
6,talks,878
6,tax,879
6,tax,879
6,thats,332
6,thing,333
6,think,335
6,think,335
6,think,335
6,time,338
6,today,619
6,today,619
6,today,619
6,told,339
6,tool,880
6,trafficking,881
6,travel,882
6,traveled,883
6,traveling,884
6,troops,885
6,troops,885
6,try,886
6,trying,175
6,two,887
6,united,469
6,useful,888
6,uses,889
6,vacationing,890
6,view,891
6,visits,892
6,washington,893
6,washington,893
6,week,894
6,weekold,895
6,weeks,896
6,weighing,897
6,welcome,898
6,went,177
6,white,899
6,white,899
6,white,899
6,won,900
6,working,478
6,year,182
7,administration,679
7,allowed,901
7,american,485
7,american,485
7,american,485
7,animals,902
7,arrived,489
7,asian,903
7,available,695
7,believed,200
7,check,904
7,chile,905
7,cites,906
7,cites,906
7,cites,906
7,coast,907
7,colombia,908
7,come,208
7,comment,209
7,complex,32
7,convention,909
7,countries,505
7,country,732
7,customs,910
7,declared,911
7,documents,912
7,documents,912
7,documents,912
7,dont,42
7,end,913
7,endangered,914
7,enter,915
7,entered,916
7,evidence,765
7,export,917
7,export,917
7,export,917
7,first,55
7,five,530
7,four,60
7,fund,394
7,group,242
7,group,242
7,group,242
7,high,77
7,illegal,918
7,illegal,918
7,illegal,918
7,imports,919
7,improvement,920
7,industry,921
7,international,792
7,international,792
7,international,792
7,investigation,83
7,involved,922
7,involving,923
7,involving,923
7,involving,923
7,japan,924
7,japan,924
7,japan,924
7,japan,924
7,japan,924
7,japan,924
7,japanese,925
7,japans,926
7,larger,927
7,last,95
7,legal,928
7,loaded,929
7,long,101
7,mainly,930
7,mask,931
7,million,268
7,million,268
7,ministry,271
7,ministry,271
7,monitoring,932
7,month,807
7,months,933
7,months,933
7,nature,934
7,new,563
7,night,935
7,officials,814
7,officials,814
7,organization,571
7,paper,936
7,past,574
7,penalties,937
7,permits,938
7,plants,939
7,profits,940
7,proper,941
7,protected,942
7,protected,942
7,protection,943
7,regulations,944
7,required,945
7,responded,946
7,retail,947
7,revealed,948
7,route,949
7,serious,150
7,seven,950
7,seven,950
7,seven,950
7,shipment,951
7,shipments,952
7,shipped,953
7,ships,954
7,singapore,955
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,skins,956
7,smuggled,957
7,song,658
7,song,658
7,song,658
7,south,958
7,south,958
7,south,958
7,species,959
7,species,959
7,spokeswoman,866
7,statement,960
7,statement,960
7,stolen,961
7,system,962
7,system,962
7,thailand,963
7,thailand,963
7,thailand,963
7,think,335
7,thursday,964
7,thursday,964
7,times,965
7,tons,966
7,trade,967
7,trade,967
7,trade,967
7,trade,967
7,trade,967
7,traffic,968
7,trail,969
7,treaty,970
7,uncovered,971
7,uruguay,972
7,value,973
7,value,973
7,venezuela,974
7,verification,975
7,voluntary,976
7,wide,977
7,wildlife,978
7,wildlife,978
7,world,672
7,year,182
7,year,182
7,yen,979
8,appears,980
8,appears,980
8,assuming,981
8,auto,982
8,boost,983
8,candidate,984
8,candidates,708
8,candidates,708
8,caucuses,985
8,clout,986
8,considerable,987
8,democratic,743
8,democratic,743
8,dukakis,988
8,eventual,989
8,far,386
8,gephardt,990
8,gotten,991
8,growing,992
8,half,993
8,hearts,994
8,jackson,543
8,jesse,795
8,labor,259
8,leaders,995
8,majority,996
8,members,997
8,members,997
8,michael,998
8,michigan,999
8,national,560
8,nominee,1000
8,organized,1001
8,prevented,1002
8,primaries,1003
8,rankandfile,1004
8,rankandfile,1004
8,richard,597
8,saturdays,1005
8,single,1006
8,state,868
8,states,326
8,support,1007
8,support,1007
8,union,1008
8,union,1008
8,union,1008
8,union,1008
8,union,1008
8,united,469
8,votes,1009
8,votes,1009
8,won,900
8,workers,1010
8,workers,1010
9,brush,1011
9,developments,1012
9,fires,1013
9,forest,1014
9,states,326
9,summary,1015
9,western,1016
10,accident,1017
10,active,1018
10,am,484
10,assembly,1019
10,attended,1020
10,automobile,1021
10,born,635
10,business,703
10,candidate,984
10,capital,1022
10,car,364
10,citizens,1023
10,city,368
10,death,36
10,degrees,1024
10,deputy,1025
10,deputy,1025
10,died,39
10,district,1026
10,elected,1027
10,election,1028
10,elections,1029
10,elections,1029
10,elections,1029
10,favors,1030
10,feared,1031
10,first,55
10,founded,392
10,france,1032
10,frances,533
10,french,1033
10,friday,61
10,front,393
10,front,393
10,front,393
10,front,393
10,front,393
10,government,241
10,half,993
10,headed,783
10,held,1034
10,highest,1035
10,highly,1036
10,immigration,1037
10,jan,1038
10,jobs,1039
10,joining,796
10,last,95
10,law,798
10,le,1040
10,le,1040
10,le,1040
10,leader,1041
10,leadership,1042
10,legislative,1043
10,local,553
10,lost,1044
10,man,263
10,marketing,1045
10,mayor,1046
10,meeting,106
10,member,1047
10,miles,1048
10,movements,1049
10,national,560
10,national,560
10,national,560
10,national,560
10,national,560
10,national,560
10,opposed,1050
10,paris,1051
10,paris,1051
10,paris,1051
10,party,278
10,party,278
10,pen,1052
10,pen,1052
10,pen,1052
10,penalty,1053
10,percent,280
10,percent,280
10,percentage,1054
10,personal,1055
10,police,126
10,police,126
10,political,286
10,political,286
10,presidential,836
10,priority,1056
10,racist,1057
10,ran,1058
10,rightwing,1059
10,road,1060
10,round,1061
10,saturday,142
10,seat,1062
10,secretarygeneral,1063
10,smashed,1064
10,stopping,1065
10,strongly,1066
10,summer,1067
10,surprising,1068
10,taxes,1069
10,traveling,884
10,tree,1070
10,vote,1071
10,vote,1071
10,vote,1071
10,west,628
10,west,628
10,won,900
10,won,900
10,won,900
10,year,182
10,years,184
11,affected,1072
11,affected,1072
11,broke,1073
11,camps,1074
11,collapsed,373
11,delhi,1075
11,died,39
11,died,39
11,drowned,1076
11,eastern,1077
11,evacuated,1078
11,flooded,1079
11,floods,1080
11,friday,61
11,homes,1081
11,houses,1082
11,india,540
11,india,540
11,indian,1083
11,lived,1084
11,lost,1044
11,miles,1048
11,month,807
11,moved,426
11,new,563
11,news,564
11,newspapers,1085
11,night,935
11,northeastern,1086
11,people,124
11,people,124
11,rains,1087
11,relief,1088
11,reported,1089
11,reported,1089
11,residents,1090
11,residents,1090
11,southwest,1091
11,state,868
11,state,868
11,state,868
11,thursday,964
11,town,340
11,town,340
11,united,469
11,victims,1092
11,west,628
11,worst,1093
11,worst,1093
12,actor,479
12,actor,479
12,actor,479
12,actors,1094
12,actress,480
12,awards,1095
12,away,355
12,best,699
12,betty,1096
12,born,635
12,broadway,1097
12,buckley,1098
12,buckley,1098
12,called,363
12,cant,1099
12,ceiling,1100
12,chairman,1101
12,composed,1102
12,daughter,1103
12,depth,1104
12,dogs,1105
12,dominican,1106
12,edwin,228
12,england,1107
12,failed,1108
12,fair,1109
12,favorite,1110
12,george,63
12,george,63
12,goes,1111
12,high,77
12,holmes,1112
12,home,404
12,howard,1113
12,humor,1114
12,i,79
12,i,79
12,jack,1115
12,judy,1116
12,killed,91
12,lady,548
12,larry,1117
12,lifts,1118
12,lived,1084
12,maureen,1119
12,mine,1120
12,mystery,1121
12,new,563
12,opera,1122
12,particular,1123
12,planet,1124
12,played,1125
12,presence,1126
12,republic,595
12,revival,1127
12,rose,1128
12,rose,1128
12,rose,1128
12,rose,1128
12,rose,1128
12,rose,1128
12,roses,1129
12,roses,1129
12,sang,1130
12,sang,1130
12,sang,1130
12,sang,1130
12,service,1131
12,skill,1132
12,standards,1133
